,favorite_count,hash_tags,id,media,retweet_count,text,timestamp,url,user_follower_count,user_id,user_screen_name,,misinformation,reasoning,attitude
0,1,[],1.02E+18,[],0,"""Fully 93% of cases of autism begin after children are vaccinated! Dr. Joseph Mercola/particularly indicts the hepatitis B vaccine, given on the child's first  day of life. At that time, children do not have a developed immune system &amp; their nervous system is very vulnerable.""",Thu Jul 26 06:29:24 +0000 2018,[],499,40308046,b'djt10',,1,4,-1
1,0,[],1.02E+18,[],0,"NEEDLE NAZIS and the impending MEDICAL HOLOCAUST of compulsory vaccination create such devastation that if I don't look/inhale something simple and beautiful a few times a day, it gets hard to breathe. https://t.co/LxsysuulKt",Mon Jul 23 17:28:10 +0000 2018,[],499,40308046,b'djt10',,0,14,-1
2,1,[],1.02E+18,[],0,"https://t.co/hJV3pgqaLR https://t.co/Z4UCLLW3wH  The SV40/vaccine connection/ foreign med journal.Polio vaccines/monkey virus SV40 contamination--cancer. Inheritable virus also sexually transmitted, &amp; by the blood.  ""The road to hell is sometimes paved with good intentions""",Mon Jul 23 06:53:20 +0000 2018,[],499,40308046,b'djt10',,1,2,0
3,5,[],1.02E+18,[],6,"""...the Salk polio vaccine was said to carry a monkey retrovirus (from  cultivating the vaccine on monkey organs) that produces inheritable  cancer. The monkey retrovirus SV40 keeps turning up in human cancer  sites."" https://t.co/uqeJ77HJ4W",Sat Jul 21 14:59:18 +0000 2018,[],499,40308046,b'djt10',,1,2,0
4,5,[],1.02E+18,[],2,"@InformdConsent After ""likely exposure""? --they don't know. Much more likely to a recently vaccinated person shedding and spreading disease. https://t.co/fRKTjCazmU",Wed Jul 18 15:10:21 +0000 2018,[],499,40308046,b'djt10',,1,14,-1
5,2,[],1.02E+18,[],1,"https://t.co/PIsfnsHOWDhttps://t.co/4CswA0ZE4GVax-Unvax study of mice implicates Hepatitis B vaccine, media silent",Mon Jul 16 21:08:41 +0000 2018,[],499,40308046,b'djt10',,0,14,0
6,0,[],1.02E+18,[],0,"https://t.co/Y7mq4RKkVa  47,500 paralysis cases after polio vaccine--""Polio vaccines are causing paralysis and death in India and the local  press is reporting it (not the US press, of course). This article is  from the largest circulation English language paper in South India.""",Mon Jul 16 18:14:32 +0000 2018,[],499,40308046,b'djt10',,1,2,0
7,5,[],1.02E+18,[],2,"Now Merck is in trouble. With a victory like this, lesser and similar vaccine reactions could now be litigated. https://t.co/ax88FdBizc",Wed Jul 25 10:57:18 +0000 2018,[],144,3396592426,b'NewAutismInfo',,0,14,0
8,3,[],1.02E+18,[],0,"He also recommended that the MMR vaccine be split up BACK into separate vaccines. If you have ever witnessed the behavior change first hand, and I hope you don't, your opinion of vaccines might be different. https://t.co/ydywSg0IDh",Tue Jul 24 12:00:54 +0000 2018,[],144,3396592426,b'NewAutismInfo',,1,2,0
9,4,[],1.02E+18,[],3,Don't forget damaging vaccine contents. Or do those not count? https://t.co/4GoUwqVuI2,Mon Jul 23 14:03:56 +0000 2018,[],144,3396592426,b'NewAutismInfo',,1,1,-1
