favorite_count,hash_tags,id,media,retweet_count,text,timestamp,url,user_follower_count,user_id,user_screen_name,Misinformation,Reasoning,Attitude
0,[],9.88E+17,[],42,"RT @forrestmaready: The same ideology that promotes mandatory vaccinations for ""herd immunity"" would insist your dairy farm must be sprayedÉ",Mon Apr 23 15:55:16 +0000 2018,[],3748,7.92E+17,ThisMomHCN,1,11,-1
0,[],9.88E+17,[],367,"RT @HealthRanger: Dementia now striking people in their 40s as mercury from vaccines causes slow, degenerative brain damage. https://t.co/iÉ",Mon Apr 23 15:54:59 +0000 2018,[],3748,7.92E+17,ThisMomHCN,1,1,-1
0,[],9.88E+17,[],21,"RT @ThisMomHCN: People will get mad at you for speaking the #truth about #vaccines. Rather than get mad at the people who lied to them.

#EÉ",Sun Apr 22 11:31:41 +0000 2018,[],3748,7.92E+17,ThisMomHCN,0,14,-1
7,[],9.88E+17,[],5,"#AutismAwarenessMonth
#Autism spike linked to these #vaccines made with aborted #human #fetal cells

#InjuredArmy
#MedicalFreedom
#VaccineInducedBrainInjury (Aka #AUTISM)
#Prolife?
#NotOneMore
#InformedConsent
@POTUS @FLOTUS @VP
https://t.co/c0bm8pgkiH

https://t.co/ZsjlwxV8cL https://t.co/zncKbnY9Uj",Sat Apr 21 23:32:07 +0000 2018,[],3748,7.92E+17,ThisMomHCN,1,4,-1
8,[],9.88E+17,[],9,"Do we really want to inject our #children with ""#UnavoidablyUnsafe""
#vaccines made in China with no quality control?
#UnavoidablyUnsafe
#InjuredArmy
#LearnTheFacts
#WeDid
@POTUS @VP @FLOTUS
@AgeofAutism
https://t.co/A7NT4lakb1
https://t.co/nmrW6AOjne
https://t.co/zj6ePJaVY9 https://t.co/PpkfueSNDT",Sat Apr 21 13:36:45 +0000 2018,[],3748,7.92E+17,ThisMomHCN,1,2,-1
0,[],9.87E+17,[],1,RT @zeezeesmommy1: @ThisMomHCN @POTUS @FLOTUS @VP What is being done about the mandatory meningococcal vaccination that is required for allÉ,Thu Apr 19 20:42:03 +0000 2018,[],3748,7.92E+17,ThisMomHCN,0,14,-1
0,[],9.87E+17,[],41,"RT @LotusOak: Italians Took to the Streets to Protest New Mandatory Vaccination Law

https://t.co/r0BzT4tJqa
#freedom #vaccines https://t.cÉ",Wed Apr 18 22:41:26 +0000 2018,[],3748,7.92E+17,ThisMomHCN,0,14,0
0,[],9.86E+17,[],21,"RT @ThisMomHCN: The most common neurotoxic #vaccine ingredients (aluminum and mercury)

1) both #mitochondrial toxins

2) both blood-brainÉ",Tue Apr 17 12:48:32 +0000 2018,[],3748,7.92E+17,ThisMomHCN,1,1,-1
0,[],9.86E+17,[],8,RT @RebeccaRage333: @ThisMomHCN Heck no I wouldnÕt vaccinate her! Why? So that sheÕd still B alive! Vaccines kill &amp; the Drug Cartel (Big PhÉ,Tue Apr 17 01:55:14 +0000 2018,[],3748,7.92E+17,ThisMomHCN,1,2,-1
0,[],9.90E+17,[],2,"RT @and_kell: During national infant immunization week too...

#vaccinescauseautism #AutismAwarenessMonth https://t.co/7CyYwH0kkz",Sun Apr 29 00:04:27 +0000 2018,[],516,8.61E+17,markjarthur,1,4,-1
24,[],9.89E+17,[],2,"Vaccine choice is now ""child abuse""?
There's never a shortage of hyperbole with ""vaccine advocates"" like Tim. https://t.co/Hj1ipgalyS",Tue Apr 24 22:47:45 +0000 2018,[],516,8.61E+17,markjarthur,1,14,-1
6,[],9.89E+17,[],1,"@t_robic Do you consider adults allowing their partners not to vaccinate ""spousal abuse""?
https://t.co/BKUcJGInYH",Tue Apr 24 22:15:49 +0000 2018,[],516,8.61E+17,markjarthur,0,14,0
11,[],9.89E+17,[],2,"@t_robic Tim, who will you accuse of child abuse for the 3,200 hospitalizations post dengue vaccine?
https://t.co/vjKd0lPmXW",Tue Apr 24 20:40:40 +0000 2018,[],516,8.61E+17,markjarthur,0,2,-1
0,[],9.89E+17,[],18,RT @and_kell: Please call us what we are #exvaxxers the best way to become an anti-vaxxer is to vaccinate and witness your child suffer inÉ,Tue Apr 24 20:14:24 +0000 2018,[],516,8.61E+17,markjarthur,1,2,-1
0,[],9.88E+17,[],0,"@RR2GO Hep A &amp; B, meningitis, flu, HIB, diphtheria, tetanus, pertussis, &amp; pneumococcal vaccines are all recommended for immunocomp'd.",Sun Apr 22 06:48:12 +0000 2018,[],516,8.61E+17,markjarthur,0,14,1
0,[],9.88E+17,[],0,@RR2GO *You believe to choosing not to get vaccinated* is worthy of death?,Sun Apr 22 06:43:06 +0000 2018,[],516,8.61E+17,markjarthur,0,14,0
0,[],9.88E+17,[],0,"@RR2GO Back to the original point, you believe not to chose not to get vaccinated is worthy of death?",Sun Apr 22 06:42:23 +0000 2018,[],516,8.61E+17,markjarthur,0,14,0
1,[],9.88E+17,[],0,@RR2GO So your opinion is people should die if they don't want to vaccinate and possibly go blind?,Sun Apr 22 06:37:57 +0000 2018,[],516,8.61E+17,markjarthur,0,14,0
2,[],9.88E+17,[],0,"@RR2GO Like when people ignore encephalitis deaths from vaccines?  Is that disgusting?
https://t.co/dCLw6H8vWw",Sun Apr 22 06:10:35 +0000 2018,[],516,8.61E+17,markjarthur,1,2,-1
0,[],9.88E+17,[],40,RT @FullMeasureNews: Reckless experiment or key to a breakthrough? A dying scientist giving experimental herpes vaccines É while ignoring hÉ,Sun Apr 22 01:20:38 +0000 2018,[],516,8.61E+17,markjarthur,0,14,0
0,[],9.90E+17,[],0,Multiple studies have found that #vaccines during #pregnancy are dangerous yet doctors and the #CDC keep recommending them. https://t.co/g63sGfKCQm,Fri Apr 27 19:01:37 +0000 2018,[],3477,2871062145,RealNaturalNews,1,2,-1
0,[],9.90E+17,[],0,#CDC #vaccine #policies alone have murdered far more children than #ChemicalWeapons attacks in #Syria https://t.co/syN3rp7LC3,Fri Apr 27 18:30:23 +0000 2018,[],3477,2871062145,RealNaturalNews,1,2,-1
11,[],9.90E+17,[],8,Probiotics cure peanut allergies in 80 percent of children. https://t.co/PcquTencWq #vaccines #antivax #health,Fri Apr 27 15:00:56 +0000 2018,[],3477,2871062145,RealNaturalNews,2,14,-1
0,[],9.89E+17,[],0,#Mercury in #vaccines may be up to 50 TIMES more toxic to the brain than mercury in fish. https://t.co/2HAbiFOF0H #antivax,Wed Apr 25 06:00:10 +0000 2018,[],3477,2871062145,RealNaturalNews,1,1,-1
1,[],9.89E+17,[],0,"That was then, this is now: Open season on vaccinating pregnant women. https://t.co/rTCT5YxZe6 #vaccines #antivax #health",Tue Apr 24 23:00:13 +0000 2018,[],3477,2871062145,RealNaturalNews,1,2,-1
0,[],9.89E+17,[],1,Independent journalism investigation reveals the CDC to be hopelessly corrupt when it comes to vaccine safety research. https://t.co/417ctBAUzt #CDC #health #vaccines #BigPharma,Tue Apr 24 17:30:10 +0000 2018,[],3477,2871062145,RealNaturalNews,1,2,-1
1,[],9.89E+17,[],1,"Bill Gates' Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine. https://t.co/g7VjtL5KJT #BillGates #HPV #vaccines",Tue Apr 24 17:01:25 +0000 2018,[],3477,2871062145,RealNaturalNews,1,14,-1
2,[],9.89E+17,[],2,All 8 extreme childhood food allergies are also common ingredients in CDC-recommended vaccinesÉ coincidence? https://t.co/Jbt3UuX25Z #vaccines #antivax #health #BigPharma,Tue Apr 24 11:00:29 +0000 2018,[],3477,2871062145,RealNaturalNews,1,1,-1
3,[],9.90E+17,[],2,More people die from the MMR vaccine actually. The MMR is killing people https://t.co/1l1k5fo1gk,Fri Apr 27 09:16:27 +0000 2018,[],3318,3655550867,Charbrevolution,1,2,-1
2,[],9.90E+17,[],2,"When vaccines tested they were found to be contaminated. 
Here is the science for you.
https://t.co/kWlHkBAAqs https://t.co/9NlMHjf8tz",Fri Apr 27 08:36:45 +0000 2018,[],3318,3655550867,Charbrevolution,1,2,-1
4,[],9.90E+17,[],2,The links you posted were writing about a very shady pro vaccine study. You did not understand what you posted nor so you have the grace to admit your mistake. https://t.co/qnF7tl4RmU,Fri Apr 27 07:51:40 +0000 2018,[],3318,3655550867,Charbrevolution,0,14,-1
0,[],9.90E+17,[],0,@salbob16 @Carlos_S01 No the link you posted was actually criticising a pro vaccine study - which you did not even understand and still do not understand.,Fri Apr 27 07:41:16 +0000 2018,[],3318,3655550867,Charbrevolution,0,14,0
0,[],9.90E+17,[],0,@Warrior_x_Sarah @jdcm555 @KatHumble @Cloudhunter @ceesinsaw @EDalmayne @GMB So you are happy that all vaccinated children have been living guinea pigs for pharma?,Fri Apr 27 07:28:04 +0000 2018,[],3318,3655550867,Charbrevolution,1,14,-1
35,[],9.90E+17,[],21,"the NATIONAL CHILDHOOD VACCINE INJURY ACT 1986
Without this legislation, vaccinations would have died a natural legal death as the exponential damages claims overwhelmed the commercial gains of producing the vaccine product",Fri Apr 27 06:05:56 +0000 2018,[],3318,3655550867,Charbrevolution,1,14,-1
0,[],9.90E+17,[],0,@tarastrong @ksenapathy @jillpromoli @Goldrushcomic @scimoms Tara to let you know that all vaccine safety trials are fraudulent an our kids have been the guinea pigs. There i no research that exists that shows aluminium safe to inject into human life and it has been linked to autism,Fri Apr 27 04:56:03 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
0,[],9.90E+17,[],0,@mommyphd2 @tarastrong @ksenapathy @jillpromoli @Goldrushcomic @scimoms Alison all vaccines are fraudulently tested the research is smoke and mirrors they test a vaccine against another vaccine to mask reactions in trials so our kids are real life guinea pigs.,Fri Apr 27 04:54:21 +0000 2018,[],3318,3655550867,Charbrevolution,1,14,-1
4,[],9.90E+17,[],1,The MMR has never contained mercury as it is a live virus vaccine. Mercury in trace amounts in all others but not labelled. Aluminium is my main concern. Studies prove that the unvaccinated child is healthier https://t.co/fbtcdSVST4,Fri Apr 27 04:47:33 +0000 2018,[],3318,3655550867,Charbrevolution,1,1,-1
0,[],9.90E+17,[],0,@ksenapathy @tarastrong @mommyphd2 @jillpromoli @Goldrushcomic @scimoms Children are dying from vaccines more,Fri Apr 27 04:46:13 +0000 2018,[],3318,3655550867,Charbrevolution,1,2,-1
1,[],9.90E+17,[],0,@_SpacePirate__ I prefer science actually - hard proven science. All vaccines tested were contaminated. Why inject babies with contaminated junk?,Fri Apr 27 04:19:06 +0000 2018,[],3318,3655550867,Charbrevolution,1,2,-1
1,[],9.90E+17,[],0,@_SpacePirate__ Really a government agency that has hidden data from a study back in 2004 evidencing vaccines are linked to autism. Well I think you are a bit erm obtuse to trust that agency when we know it is corrupt. You think they will admit it? Very naive.,Fri Apr 27 04:14:36 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
0,[],9.90E+17,[],0,"@_SpacePirate__ far from it. These vaccines are fraudulently tested, contaminated neuro-toxic shit storms that have no place being injected into our young.",Fri Apr 27 04:09:21 +0000 2018,[],3318,3655550867,Charbrevolution,1,1,-1
2,[],9.90E+17,[],0,"@_SpacePirate__ Actually I believe courts, scientists, and r's who are all speaking up against vaccines - the evidence is vast - you clearly have not done a jot of research or you would not make that ridiculous statement!",Fri Apr 27 04:07:30 +0000 2018,[],3318,3655550867,Charbrevolution,0,14,-1
1,[],9.90E+17,[],2,"Black baby boys are %340 more likely to be harmed and have autism from vaccines than white children. Its Tuskegee all over again
https://t.co/oKF5qkYKRf https://t.co/cHgM7rMJH0",Fri Apr 27 03:52:24 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
0,[],9.90E+17,[],8,RT @Carlos_S01: @Charbrevolution An italian court ruled vaccines cause autism https://t.co/uxbctD7yNN  cc @salbob16,Fri Apr 27 03:48:39 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
1,[],9.90E+17,[],0,@Budd4999 @joejoe80495073 @Autistic_Mind No Scientists Drs The Courts all agree vaccines can and do cause autism.,Thu Apr 26 18:15:45 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
1,[],9.90E+17,[],0,@Budd4999 @joejoe80495073 @Autistic_Mind Great \buddy but we are discussing that many kids with autism are vaccine damaged and at home permanently some still in diapers and will never have a full life like you are hopefully experiencing. It is a vast spectrum and the hf do the less able an injustice,Thu Apr 26 17:49:34 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
8,[],9.90E+17,[],4,I know it is really hard to listen to peer reviewed science that proves vaccines can and do cause autism but they do. Science says so! https://t.co/4nPqwP6zLv,Thu Apr 26 17:41:55 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
5,[],9.90E+17,[],1,@salbob16 @meowcarriemeow @DocBastard @KatHumble @jdcm555 @ceesinsaw @EDalmayne @GMB Science and the vaccine court prove vaccines can and do cause autism,Thu Apr 26 17:40:23 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
1,[],9.90E+17,[],0,@joejoe80495073 @Autistic_Mind yep the ones with vaccine related bowel disease which means many of them live in constant pain,Thu Apr 26 16:09:57 +0000 2018,[],3318,3655550867,Charbrevolution,1,2,-1
0,[],9.90E+17,[],5,RT @jeremyrhammond: When I asked the AAP to support their claim that science has proven that vaccines can't cause autism by producing evenÉ,Thu Apr 26 13:52:56 +0000 2018,[],3318,3655550867,Charbrevolution,0,4,-1
0,[],9.90E+17,[],0,Doc vaccines can and do cause autism https://t.co/uRbeSOPSsZ,Thu Apr 26 13:50:13 +0000 2018,[],3318,3655550867,Charbrevolution,1,4,-1
0,[],9.89E+17,[],0,@Autistic_Mind Ah such a weak argument - I have spent 8 years researching vaccines. You are out of your depth and it shows. You are trying to debate with someone who knows their stuff - you are treading water -,Thu Apr 26 13:32:26 +0000 2018,[],3318,3655550867,Charbrevolution,0,14,0
0,[],9.90E+17,[],22,"RT @LotusOak: #Gardasil-9 Facts: More than DOUBLE the amount of #Toxic #Aluminum

https://t.co/pjWYlSk6D0
#HPV #vaccines https://t.co/1ySujÉ",Sun Apr 29 00:52:17 +0000 2018,[],141732,424711422,LotusOak,1,1,-1
0,[],9.90E+17,[],10,"RT @LotusOak: Dr. Thomas, MD: If we gonna use #vaccines at all, we want SAFE vaccines
https://t.co/S4g7VqW6VJ
#RFKcommission #VaccineSafety",Sun Apr 29 00:18:53 +0000 2018,[],141732,424711422,LotusOak,0,2,0
10,[],9.90E+17,[],9,"Italians Took to the Streets to Protest New Mandatory Vaccination Law

https://t.co/r0BzT4tJqa
#freedom #vaccines https://t.co/fYz9CZFdNq",Sun Apr 29 00:11:53 +0000 2018,[],141732,424711422,LotusOak,0,14,-1
0,[],9.90E+17,[],26,"RT @LotusOak: Watch the documentary #VAXXED. A must see for everybody.
https://t.co/vno4zkGF9v 

#CDCtruth #Autism #vaccines https://t.co/gÉ",Sat Apr 28 23:56:08 +0000 2018,[],141732,424711422,LotusOak,1,4,-1
0,[],9.90E+17,[],648,RT @LotusOak: @BeckyJohnson222 For the sake of our kids we have 2 make all our relatives 2 watch #VAXXED &amp; read all the worrisome #vaccineÉ,Sat Apr 28 23:42:32 +0000 2018,[],141732,424711422,LotusOak,1,4,-1
0,[],9.90E+17,[],45,"RT @LotusOak: Dr. Humphries: I started questioning #vaccines after seeing kidney functions go down within 24h after the shot

https://t.co/É",Sat Apr 28 23:42:27 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
0,[],9.90E+17,[],11,"RT @LotusOak: Watch the documentary #VAXXED. A must see for all Americans.
https://t.co/vno4zkGF9v

#CDCtruth #Autism #vaccines https://t.cÉ",Sat Apr 28 23:27:08 +0000 2018,[],141732,424711422,LotusOak,1,4,-1
5,[],9.90E+17,[],12,"2-month old Dies 48 hours After 8 #Vaccines: Owen’s Mom Speaks Out

https://t.co/F5qkoMKzTB

#vaccines #LearnTheRisk #VaccineDeath #SIDS https://t.co/YUG2g9wS79",Sat Apr 28 21:46:43 +0000 2018,[],141732,424711422,LotusOak,1,13,-1
2,[],9.90E+17,[],4,"A 2-year old boy nearly dies after exposure to his fathers #Smallpox #vaccine #shedding

https://t.co/JqbGQd99dO

#vaccines #LearnTheRisk",Sat Apr 28 21:03:04 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
7,[],9.90E+17,[],8,"2-month old Dies 48 hours After 8 #Vaccines: Owen’s Mom Speaks Out

https://t.co/F5qkoMKzTB

#vaccines #LearnTheRisk #VaccineDeath #SIDS https://t.co/gT7FlHVWUl",Sat Apr 28 20:59:39 +0000 2018,[],141732,424711422,LotusOak,1,13,-1
2,[],9.90E+17,[],4,"That's why you never ever want to vaccinate your preterm #baby:

https://t.co/E1q8dkhIkV
#LearnTheRisk #vaccines",Sat Apr 28 19:32:30 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
4,[],9.90E+17,[],3,"The Attack On #Pregnant Mothers Escalates
by Suzanne Humphries, MD

https://t.co/9wqMYeAmb8
#vaccines #LearnTheRisk https://t.co/NNRCFpI2pb",Sat Apr 28 18:51:28 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
0,[],9.90E+17,[],22,"RT @LotusOak: Dr. Humphries: ""Acute Flaccid #Paralysis"" Used to be Called ""POLIO""

https://t.co/dgBhcw5Leg

#vaccines #polio #AFP https://tÉ",Sat Apr 28 18:46:40 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
0,[],9.90E+17,[],6,RT @LotusOak: @mst3ktrace @mal0406 @DavidOugh1 The truth is that vaccinated people can catch and spread measles as well as unvaccinated. ThÉ,Sat Apr 28 18:34:41 +0000 2018,[],141732,424711422,LotusOak,1,3,-1
0,[],9.90E+17,[],42,"RT @LotusOak: Did you know that in late 50s, after #Polio #vaccine was introduced, the diagnostic criteria for polio, both paralytic &amp; non-É",Sat Apr 28 18:22:00 +0000 2018,[],141732,424711422,LotusOak,1,14,-1
8,[],9.90E+17,[],5,"#Vaccine makers don't have to do the same rigorous #safety studies for #vaccines as they do for other #drugs b/c vaccines are classified as public health measure vs. a pharma drug.

https://t.co/rYIEJ7YbU3

#LearnTheRisk #VaccineSafety https://t.co/Ja6kTrE4f8",Sat Apr 28 18:06:23 +0000 2018,[],141732,424711422,LotusOak,1,9,-1
0,[],9.90E+17,[],17,"RT @LotusOak: #STUDY: #Measles outbreak in a vaccinated population: epidemiology, transmission &amp; the role of #vaccine failures

https://t.cÉ",Sat Apr 28 17:50:46 +0000 2018,[],141732,424711422,LotusOak,1,3,-1
0,[],9.90E+17,[],24,"RT @LotusOak: #Vaccine Shedding: How Vaccinated Kids Infect The Non-Vaccinated

https://t.co/lpxHx6541x

#LearnTheRisk #vaccines https://t.É",Sat Apr 28 17:26:45 +0000 2018,[],141732,424711422,LotusOak,1,14,-1
0,[],9.90E+17,[],6,"RT @LotusOak: #VAXXED Stories: #HOMEOPATHY Saved My Son

https://t.co/gIFEcMWqBv
Curing vaccine-induced seizures w/ Homeopathy https://t.coÉ",Sat Apr 28 17:03:32 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
0,[],9.90E+17,[],46,"RT @LotusOak: George Bernard Shaw on #Smallpox Vaccination &amp; False Diagnosis

#ForgottenHistory #vaccines https://t.co/xZpjfWgWpt",Sat Apr 28 16:48:58 +0000 2018,[],141732,424711422,LotusOak,0,14,-1
0,[],9.90E+17,[],40,"RT @LotusOak: Vaccinated vs. Unvaccinated: Guess who is Sicker?

https://t.co/tHZ2cUH3gw
#VaccineInjury #VaccineSafety #VAXXED https://t.coÉ",Sat Apr 28 16:40:35 +0000 2018,[],141732,424711422,LotusOak,1,3,-1
0,[],9.90E+17,[],12,"RT @LotusOak: Irish Group R.E.G.R.E.T. Calls Out #Gardasil Propaganda

https://t.co/qYrsiiRI57

#HPV #LearnTheRisk #vaccines https://t.co/vÉ",Sat Apr 28 16:36:23 +0000 2018,[],141732,424711422,LotusOak,1,14,-1
21,[],9.90E+17,[],11,"#STUDY: Ppl vaccinated against #Flu 3 years in a row are @ higher risk of catching the flu

https://t.co/H6NVNF11Xm https://t.co/oaBmF4AwnH",Sat Apr 28 14:59:13 +0000 2018,[],141732,424711422,LotusOak,1,3,-1
0,[],9.90E+17,[],29,"RT @LotusOak: #STUDY: #Pertussis #vaccine resulted in 40-fold increase in B. parapertussis infection

https://t.co/B9XMCqpBvC https://t.co/É",Sat Apr 28 14:28:13 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
3,[],9.90E+17,[],4,"#Vaccines Didn't Save Us: 2 Centuries of Statistics

https://t.co/VotQLwBk0Z
Note: NO vaccination for Scarlet Fever https://t.co/0fCwDEO50a",Sat Apr 28 14:17:09 +0000 2018,[],141732,424711422,LotusOak,1,3,-1
0,[],9.90E+17,[],25,"RT @LotusOak: US Infant #Mortality Rate is One of the Highest in the Developed World: REPORT

https://t.co/xErlstLmVa

#vaccines https://t.É",Sat Apr 28 13:27:42 +0000 2018,[],141732,424711422,LotusOak,1,13,-1
0,[],9.90E+17,[],117,"RT @LotusOak: Now a baby @ the 2-month checkup will get vaccinated with:
HepB
Rotavirus
DTaP (3 in 1)
HIB
Polio
Pneumococcal 
= 8 doses ofÉ",Sat Apr 28 13:21:18 +0000 2018,[],141732,424711422,LotusOak,0,7,0
16,[],9.90E+17,[],10,"Dr. Thomas, MD: If we gonna use #vaccines at all, we want SAFE vaccines
https://t.co/S4g7VqW6VJ
#RFKcommission #VaccineSafety",Sat Apr 28 12:06:01 +0000 2018,[],141732,424711422,LotusOak,0,2,0
14,[],9.90E+17,[],11,"Watch the documentary #VAXXED. A must see for all Americans.
https://t.co/vno4zkGF9v

#CDCtruth #Autism #vaccines https://t.co/yAd5V9GepA",Sat Apr 28 11:17:58 +0000 2018,[],141732,424711422,LotusOak,1,4,-1
4,[],9.90E+17,[],6,"#VAXXED Stories: #HOMEOPATHY Saved My Son

https://t.co/gIFEcMWqBv
Curing vaccine-induced seizures w/ Homeopathy https://t.co/Mhni7HPlgr",Sat Apr 28 05:53:27 +0000 2018,[],141732,424711422,LotusOak,1,2,-1
0,[],9.90E+17,[],8,RT @and_kell: @autismspeaks @CNN Remember when CNN reported vaccines caused Hannah Polings #autism @drsanjaygupta interviewed then @CDCDireÉ,Fri Apr 27 17:46:16 +0000 2018,[],1804,398400514,Vbalance03,1,4,-1
1,[],9.74E+17,[],0,"@BelitsosDonna Agreed! How would $45,000 even come close to compensating for a vaccine-ruined life? Vaccine Drug companies need to be held liable! &gt;&gt; https://t.co/IpAeN0Vlu9",Tue Mar 13 22:25:21 +0000 2018,[],60723,236696328,HealthyNews2day,1,2,-1
39,[],9.87E+17,[],23,"Can someone please explain how we survived the 1980s with vaccination rates well below ""herd immunity"" thresholds and far fewer vaccines? Why didn't everyone die?

For all the haters, here's the data from CDC:... https://t.co/XzIL4UmaEt",Fri Apr 20 03:52:58 +0000 2018,[],6274,65906499,VACTRUTH,0,14,-1
13,[],9.87E+17,[],12,"At least four babies less than 2 years-old were killed from vaccines in India 2 weeks ago, during a vaccine drive. No one was held accountable for those babies... https://t.co/sEuHkJV2Yb",Wed Apr 18 16:57:12 +0000 2018,[],6274,65906499,VACTRUTH,1,13,-1
22,[],9.86E+17,[],20,"Merck's aggressive agenda to increase HPV vaccine uptake rates, despite causing thousands of severe injuries, is hitting a stumbling block in a court case alleging that the company fast tracked their unsafe and ineffective vaccine for financial gain. https://t.co/wLuExOyZSx",Tue Apr 17 21:04:22 +0000 2018,[],6274,65906499,VACTRUTH,1,6,-1
21,[],9.86E+17,[],12,"This was shared 9 years ago about the MMR vaccine causing seizures. Now pharma companies are pushing for children to receive 3 doses!!!!
Don't let your child become another vaccine injured victim. 

""NBC NEWS... https://t.co/plpdPrEsUS",Mon Apr 16 17:50:41 +0000 2018,[],6274,65906499,VACTRUTH,1,2,-1
6,[],9.84E+17,[],10,"N.J. legislator proposes mandating HPV immunization for school kids

Tens of thousands of reported HPV vaccine... https://t.co/gyBiPJ9ySL",Thu Apr 12 18:17:36 +0000 2018,[],6274,65906499,VACTRUTH,0,14,-1
6,[],9.84E+17,[],2,"Hillary Simpson's son was injured from vaccines. Of course the ignorant doctors claimed the vaccines weren't what triggered his problems and to keep on vaccinating him, which she did, because she was taught to put... https://t.co/gUTPghw2pC",Thu Apr 12 07:31:25 +0000 2018,[],6274,65906499,VACTRUTH,1,2,-1
16,[],9.84E+17,[],9,"If I had only been fully informed of this before vaccinations.....before CONTINUING to vaccinate knowing this was a contraindication!!!!!!!!!

The first picture is a warning from the American Academy of Pediatrics... https://t.co/zuJEXA2YEy",Thu Apr 12 05:27:57 +0000 2018,[],6274,65906499,VACTRUTH,1,2,-1
