"RT @HealthRanger: Dementia now striking people in their 40s as mercury from vaccines causes slow, degenerative brain damage. https://t.co/i_¾ÙÓ¾µ©_",1,"(Dementia,  CAUSE_OF_DEATH),  (now,  DATE),  (40s,  NUMBER)","RT Dementia,  striking people,  their 40s,  mercury from vaccines,  mercury,  vaccines,  slow degenerative brain damage"
"""...the Salk polio vaccine was said to carry a monkey retrovirus (from  cultivating the vaccine on monkey organs) that produces inheritable  cancer. The monkey retrovirus SV40 keeps turning up in human cancer  sites."" https://t.co/uqeJ77HJ4W",2,"(cancer,  cancer,  CAUSE_OF_DEATH)","the Salk polio vaccine,  a monkey retrovirus,  the vaccine on monkey organs that produces inheritable cancer The monkey retrovirus SV40 keeps turning up in human cancer sites,  the vaccine,  monkey organs,  inheritable cancer The monkey retrovirus SV40 keeps turning up in human cancer sites,  inheritable cancer,  The monkey retrovirus SV40,  human cancer sites"
"""China__¾ÙÓ¾µ©_¾ÙÓ¾µ©_¾ÙÓ¾µ©_¾ÙÓ¾µ©s acceptance of the Gardasil vaccine is the exact opposite of how most other countries of the world are treating the vaccine, as lawsuits increase outside the U.S.,... https://t.co/7Gk6Lg916P",2,"(China,  COUNTRY)","China,  acceptance of the Gardasil vaccine is the exact opposite of how most other countries of the world are treating the vaccine as lawsuits increase outside the U S,  acceptance,  the Gardasil vaccine,  the exact opposite of how most other countries of the world are treating the vaccine as lawsuits increase outside the U S,  the exact opposite,  most other countries of the world,  most other countries,  the world,  the vaccine,  lawsuits,  the U S"
"""Dr. Antonietta Gatti, who discovered vaccines were contaminated with highly toxic metal nanoparticles,... https://t.co/FYHx11WPOQ",1,"(Antonietta,  Gatti,  PERSON)","Dr Antonietta Gatti who discovered vaccines,  Dr Antonietta Gatti,  vaccines,  highly toxic metal nanoparticles"
"""Our results show that MMR vaccine__¾ÙÓ¾µ©_¾ÙÓ¾µ©_¾ÙÓ¾µ©_¾ÙÓ¾µ©induced antibodies wane significantly after the second dose."" https://t.co/XzKlxIjcO8",2,"(MMR,  ORGANIZATION)","Our results,  MMR vaccine,  antibodies,  the second dose"
"""This is when we were informed that Jude's suffering was a result of the rotavirus vaccine. The live virus multiplied and spread hard and fast through Jude's tiny body,"" Sonya said. https://t.co/5UdVWAt1yQ #vaxwithme #vaxxed #vaccines #vaccineswork #vaxwithme #vaxxed",2,"(Jude,  Jude,  PERSON),  (Sonya,  PERSON)","This,  we,  Jude,  suffering was a result of the rotavirus vaccine The live virus multiplied and spread hard and fast through Jude s tiny body Sonya said vaxwithme vaxxed vaccines vaccineswork vaxwithme vaxxed,  suffering,  a result of the rotavirus vaccine The live virus multiplied and spread hard and fast through Jude s tiny body Sonya said vaxwithme vaxxed vaccines vaccineswork vaxwithme vaxxed,  a result,  the rotavirus vaccine,  The live virus multiplied and spread hard and fast through Jude,  The live virus,  Jude,  tiny body Sonya said vaxwithme vaxxed vaccines vaccineswork vaxwithme vaxxed,  tiny body,  Sonya,  vaxwithme vaxxed vaccines vaccineswork vaxwithme vaxxed,  vaxwithme vaxxed vaccines,  vaccineswork vaxwithme"
"""This study showed that the majority of younger children were susceptible to MMR infection before revaccination..."" https://t.co/07y6brjjq1",3,"(MMR,  ORGANIZATION),  (infection,  CAUSE_OF_DEATH)","This study,  the majority of younger children,  the majority,  younger children,  MMR infection,  revaccination"
"@_SpacePirate__ far from it. These vaccines are fraudulently tested, contaminated neuro-toxic shit storms that have no place being injected into our young.",1,"(storms,  CAUSE_OF_DEATH)","SpacePirate far from it These vaccines,  it These,  neuro toxic shit storms,  no place being injected into our young,  no place,  our young"
@_SpacePirate__ I prefer science actually - hard proven science. All vaccines tested were contaminated. Why inject babies with contaminated junk?,2,,"SpacePirate I prefer science,  SpacePirate,  I,  science,  hard,  proven science All vaccines tested were contaminated Why inject babies with contaminated junk,  proven science,  All vaccines tested,  All vaccines,  babies,  contaminated junk"
@2ndfor1st @SuzieQT11 Along with Paul Offit and Richard Pan these ppl are dangerous lying to the ppl saying vaccines are safe and effective,2,"(Paul,  Offit,  PERSON),  (Richard,  Pan,  PERSON)","Paul Offit and Richard Pan,  Paul Offit,  Richard Pan,  these ppl,  the ppl,  vaccines"
@2ndfor1st @SuzieQT11 Along with Paul Offit and Richard Pan these ppl are dangerous lying to the ppl saying vaccines are safe and effective,2,"(Paul,  Offit,  PERSON),  (Richard,  Pan,  PERSON)","Paul Offit and Richard Pan,  Paul Offit,  Richard Pan,  these ppl,  the ppl,  vaccines"
"@3SpiritSisters @EveTweets Big pharma is behind this as well, they're covering up obvious vaccine injury.",2,,"Big pharma,  obvious vaccine injury"
"@and_kell @ThisMomHCN Gates and the polio disaster. They would have been better off without being vaccinated. Instead, he spread paralysis and death. The money he spent would have been better digging better water wells and adding purification.",2,"(Gates,  PERSON),  (disaster,  CAUSE_OF_DEATH)","kell Gates and the polio disaster They would have been better off without being vaccinated Instead he spread paralysis and death The money he spent would have been better digging better water wells and adding purification,  kell Gates,  the polio disaster They would have been better off without being vaccinated Instead he spread paralysis and death The money he spent would have been better digging better water wells and adding purification,  the polio disaster,  They,  he,  paralysis and death,  The money he spent would have been better digging,  The money,  he,  better digging,  better water wells,  purification"
@and_kell @ThisMomHCN Please listen to vaccine injury stories. Pediatricians will say the vaccines aren't the problem but parents know better https://t.co/WihphpWjlM,2,"(Pediatricians,  MISC)","kell Please listen to vaccine injury stories Pediatricians will say the vaccines arent the problem but parents know better,  kell,  vaccine injury stories Pediatricians will say the vaccines,  vaccine injury stories,  Pediatricians,  the vaccines,  the problem,  parents"
@and_kell @ThisMomHCN You should listen to the patients about their kids regression after  vaccines. Listen to vaxxed injury stories  https://t.co/WihphpWjlM,2,,"kell You should listen to the patients about their kids,  kell,  You,  the patients about their kids,  the patients,  their kids,  regression,  vaccines,  vaxxed injury stories"
@and_kell @ThisMomHCN You should listen to the patients about their kids regression after  vaccines. Listen to vaxxed injury stories  https://t.co/WihphpWjlM,2,,"kell You should listen to the patients about their kids,  kell,  You,  the patients about their kids,  the patients,  their kids,  regression,  vaccines,  vaxxed injury stories"
@BeckyJohnson222 @RoyWilliams1024 @DavidOugh1 @badzoot7 @Siubhan_H @djt10 @doritmi @c0nc0rdance @TinFoilAwards @EmmaGPaley @SueQuez @jpsportsminer @Vbalance03 @WomanMDsGuide @BlueLionBlog @Rosewind2007 @chrisvcsefalvay @chris_darnielle @Melissa62263619 @hornswaggled2 @JustBeforeDawnT @wildweatherdan @handmadekathy @kidoctr @PharmaNemesis @Cattlechildren @carlsmythe @HenningTveit @ChrisJohnsonMD @Plasticdoe @anoticingsenpai @dkegel @janem1276 @and_McDowell @jjfox123 @Pmaxwellfnp @what_if_007 @EmirSejdik @ThisMomHCN @jrtgirl35 @mal0406 @steffieschiltz @Awithonelison @theMUMeffect @RBuzzy1111 @jkellyca @gator91man @FarmgalMom @Amennaanka @Itsme060602 2) suggest that measles vaccination does not control measles outbreaks. I show you this. https://t.co/DdCrlSoHyF,3,"(darnielle,  McDowell,  PERSON),  (007,  2,  NUMBER),  (measles,  measles,  CAUSE_OF_DEATH)","H darnielle McDowell if 007 2,  H darnielle McDowell,  007 2,  measles vaccination,  measles outbreaks I show you this,  measles outbreaks,  I,  you,  this"
"@BelitsosDonna Agreed! How would $45,000 even come close to compensating for a vaccine-ruined life? Vaccine Drug companies need to be held liable! &gt;&gt; https://t.co/IpAeN0Vlu9",2,"(45,  000,  NUMBER)","Agreed,  45 000,  close to compensating for a vaccine ruined life Vaccine Drug companies need to be held liable gt gt,  a vaccine,  life Vaccine Drug companies need to be held liable,  life,  Vaccine Drug companies"
