"RT @HealthRanger: Dementia now striking people in their 40s as mercury from vaccines causes slow, degenerative brain damage. https://t.co/i�_",1,"(Dementia,  CAUSE_OF_DEATH),  (now,  DATE),  (40s,  NUMBER)","RT Dementia,  striking people,  their 40s,  mercury from vaccines,  mercury,  vaccines,  slow degenerative brain damage"
"#AutismAwarenessMonth
#Autism spike linked to these #vaccines made with aborted #human #fetal cells

#InjuredArmy
#MedicalFreedom
#VaccineInducedBrainInjury (Aka #AUTISM)
#Prolife?
#NotOneMore
#InformedConsent
@POTUS @FLOTUS @VP
https://t.co/c0bm8pgkiH

https://t.co/ZsjlwxV8cL https://t.co/zncKbnY9Uj",4,,"AutismAwarenessMonth n Autism spike linked to these vaccines made with aborted human fetal cells n n InjuredArmy n MedicalFreedom n VaccineInducedBrainInjury Aka AUTISM n Prolife n NotOneMore n InformedConsent n,  AutismAwarenessMonth n Autism spike,  these vaccines made with aborted human fetal cells n n,  these vaccines,  aborted human fetal cells n n,  InjuredArmy n MedicalFreedom n VaccineInducedBrainInjury Aka AUTISM,  InjuredArmy n MedicalFreedom n,  VaccineInducedBrainInjury Aka AUTISM,  n,  Prolife n NotOneMore n InformedConsent n,  Prolife n NotOneMore n InformedConsent,  n"
"Do we really want to inject our #children with ""#UnavoidablyUnsafe""
#vaccines made in China with no quality control?
#UnavoidablyUnsafe
#InjuredArmy
#LearnTheFacts
#WeDid
@POTUS @VP @FLOTUS
@AgeofAutism
https://t.co/A7NT4lakb1
https://t.co/nmrW6AOjne
https://t.co/zj6ePJaVY9 https://t.co/PpkfueSNDT",2,"(China,  COUNTRY)","we,  our children,  UnavoidablyUnsafe n vaccines made in China with no quality control n UnavoidablyUnsafe n InjuredArmy n LearnTheFacts n WeDid n n,  UnavoidablyUnsafe n vaccines,  China,  no quality control n UnavoidablyUnsafe n InjuredArmy n LearnTheFacts n WeDid n n,  no quality control n UnavoidablyUnsafe,  n InjuredArmy n LearnTheFacts n,  n n"
"RT @ThisMomHCN: The most common neurotoxic #vaccine ingredients (aluminum and mercury)

1) both #mitochondrial toxins

2) both blood-brain�_",1,,"RT The most common neurotoxic vaccine ingredients aluminum and mercury n n1 both mitochondrial toxins n n2 both blood brain,  RT,  The most common neurotoxic vaccine ingredients aluminum and mercury n n1 both mitochondrial toxins,  The most common neurotoxic vaccine ingredients aluminum,  mercury n n1 both mitochondrial toxins,  mercury n n1,  mitochondrial toxins,  n n2 both blood brain"
RT @RebeccaRage333: @ThisMomHCN Heck no I wouldn��t vaccinate her! Why? So that she��d still B alive! Vaccines kill &amp; the Drug Cartel (Big Ph�_,2,"(Drug,  Cartel,  MISC),  (Big,  MISC),  (Ph,  COUNTRY)","RT Heck no I wouldn t vaccinate her Why So that she d still B alive Vaccines kill amp the Drug Cartel Big Ph,  RT Heck,  no I,  t,  her,  she,  still B alive Vaccines,  B,  the Drug Cartel Big Ph"
"RT @and_kell: During national infant immunization week too...

#vaccinescauseautism #AutismAwarenessMonth https://t.co/7CyYwH0kkz",4,"(week,  DURATION)","RT kell,  national infant immunization week too n n vaccinescauseautism AutismAwarenessMonth,  national infant immunization week too n n,  national infant immunization week,  too n n,  AutismAwarenessMonth"
"Vaccine choice is now ""child abuse""?
There's never a shortage of hyperbole with ""vaccine advocates"" like Tim. https://t.co/Hj1ipgalyS",14,"(now,  DATE),  (child,  abuse,  CRIMINAL_CHARGE),  (Tim,  PERSON)","Vaccine choice,  child abuse nThere s never a shortage of hyperbole with vaccine advocates like Tim,  child abuse nThere,  a shortage of hyperbole with vaccine advocates like Tim,  a shortage,  hyperbole with vaccine advocates like Tim,  hyperbole,  vaccine advocates like Tim,  vaccine advocates,  Tim"
RT @and_kell: Please call us what we are #exvaxxers the best way to become an anti-vaxxer is to vaccinate and witness your child suffer in�_,2,,"RT kell Please call us what we are exvaxxers the best way to become an anti vaxxer is to vaccinate and witness your child suffer in,  RT kell,  us,  we,  exvaxxers the best way to become an anti vaxxer is to vaccinate,  exvaxxers,  the best way to become an anti vaxxer,  the best way,  an anti vaxxer,  witness your child,  witness,  your child"
"@RR2GO Like when people ignore encephalitis deaths from vaccines?  Is that disgusting?
https://t.co/dCLw6H8vWw",2,,"people,  encephalitis deaths from vaccines,  encephalitis deaths,  vaccines"
Multiple studies have found that #vaccines during #pregnancy are dangerous yet doctors and the #CDC keep recommending them. https://t.co/g63sGfKCQm,2,"(CDC,  ORGANIZATION)","Multiple studies,  vaccines during pregnancy,  vaccines,  pregnancy,  yet doctors and the CDC,  doctors,  the CDC,  them"
